,Times,min_luminosity,max_luminosity
1479,19.789999999999687,9.195889634531447,9.725039967204514
1480,19.799999999999685,9.195711822875836,9.724927329645828
1481,19.809999999999683,9.195533549271694,9.724814240220343
1482,19.819999999999684,9.195354814557799,9.724700699449958
1483,19.829999999999686,9.195175619570279,9.724586707856375
1484,19.839999999999684,9.194995965142622,9.724472265961118
1485,19.84999999999968,9.194815852105677,9.72435737428551
1486,19.859999999999683,9.19463528128764,9.724242033350698
1487,19.869999999999685,9.194454253514074,9.72412624367763
1488,19.879999999999683,9.194272769607894,9.724010005787067
1489,19.88999999999968,9.194090830389369,9.723893320199586
1490,19.899999999999682,9.19390843667613,9.723776187435572
1491,19.909999999999684,9.193725589283163,9.72365860801522
1492,19.919999999999682,9.193542289022808,9.72354058245854
1493,19.92999999999968,9.193358536704764,9.72342211128535
1494,19.93999999999968,9.193174333136088,9.72330319501528
1495,19.949999999999683,9.192989679121194,9.72318383416777
1496,19.95999999999968,9.192804575461846,9.723064029262073
1497,19.96999999999968,9.192619022957174,9.722943780817253
1498,19.97999999999968,9.192433022403659,9.722823089352186
1499,19.989999999999682,9.192246574595138,9.722701955385556
1500,19.99999999999968,9.19205968032281,9.722580379435861
1501,20.00999999999968,9.191872340375228,9.72245836202141
1502,20.01999999999968,9.191684555538298,9.722335903660321
1503,20.02999999999968,9.191496326595288,9.722213004870525
1504,20.03999999999968,9.19130765432682,9.722089666169767
1505,20.049999999999677,9.191118539510876,9.721965888075596
1506,20.05999999999968,9.19092898292279,9.72184167110538
1507,20.06999999999968,9.190738985335255,9.721717015776292
1508,20.07999999999968,9.19054854751832,9.72159192260532
1509,20.089999999999677,9.190357670239395,9.721466392109262
1510,20.099999999999678,9.190166354263237,9.721340424804726
1511,20.10999999999968,9.18997460035197,9.721214021208134
1512,20.119999999999678,9.18978240926507,9.721087181835715
1513,20.129999999999676,9.189589781759372,9.720959907203515
1514,20.139999999999677,9.18939671858906,9.720832197827386
1515,20.14999999999968,9.18920322050569,9.720704054222994
1516,20.159999999999677,9.189009288258157,9.720575476905815
1517,20.169999999999675,9.188814922592725,9.720446466391135
1518,20.179999999999676,9.18862012425301,9.720317023194054
1519,20.189999999999678,9.188424893979985,9.720187147829481
1520,20.199999999999676,9.188229232511983,9.72005684081214
1521,20.209999999999674,9.188033140584686,9.719926102656562
1522,20.219999999999676,9.187836618931145,9.719794933877088
1523,20.229999999999677,9.187639668281754,9.719663334987874
1524,20.239999999999675,9.187442289364274,9.719531306502887
1525,20.249999999999673,9.187244482903814,9.719398848935903
1526,20.259999999999675,9.18704624962285,9.719265962800511
1527,20.269999999999676,9.18684759024121,9.71913264861011
1528,20.279999999999674,9.186648505476073,9.71899890687791
1529,20.289999999999672,9.186448996041985,9.718864738116935
1530,20.299999999999674,9.18624906265084,9.718730142840014
1531,20.309999999999675,9.18604870601189,9.718595121559796
1532,20.319999999999673,9.185847926831752,9.718459674788733
1533,20.32999999999967,9.18564672581439,9.718323803039093
1534,20.339999999999673,9.18544510366113,9.718187506822954
1535,20.349999999999675,9.185243061070652,9.718050786652205
1536,20.359999999999673,9.185040598738993,9.717913643038544
1537,20.36999999999967,9.184837717359553,9.717776076493486
1538,20.379999999999672,9.184634417623077,9.71763808752835
1539,20.389999999999674,9.184430700217675,9.717499676654272
1540,20.39999999999967,9.184226565828812,9.717360844382197
1541,20.40999999999967,9.184022015139307,9.71722159122288
1542,20.41999999999967,9.183817048829344,9.71708191768689
1543,20.429999999999673,9.183611667576455,9.716941824284604
1544,20.43999999999967,9.18340587205553,9.716801311526211
1545,20.44999999999967,9.183199662938819,9.716660379921715
1546,20.45999999999967,9.182993040895925,9.716519029980926
1547,20.469999999999672,9.18278600659381,9.716377262213467
1548,20.47999999999967,9.182578560696797,9.716235077128774
1549,20.489999999999668,9.182370703866559,9.71609247523609
1550,20.49999999999967,9.182162436762125,9.715949457044477
1551,20.50999999999967,9.181953760039885,9.715806023062797
1552,20.51999999999967,9.181744674353588,9.715662173799734
1553,20.529999999999667,9.18153518035433,9.715517909763776
1554,20.53999999999967,9.181325278690576,9.715373231463225
1555,20.54999999999967,9.181114970008139,9.715228139406193
1556,20.55999999999967,9.180904254950192,9.715082634100607
1557,20.569999999999666,9.18069313415726,9.7149367160542
