,Wavelength,all_lambda,lambda_lt_6500,lambda_features,lambda_3500_8000
344,4388.972308074447,1.0,1.0,1.0,1.0
345,4393.786932242133,1.0,1.0,1.0,1.0
346,4398.606837966464,1.0,1.0,1.0,1.0
347,4403.432031041222,1.0,1.0,1.0,1.0
348,4408.262517266526,1.0,1.0,1.0,1.0
349,4413.098302448878,1.0,1.0,1.0,1.0
350,4417.939392401128,1.0,1.0,1.0,1.0
351,4422.785792942525,1.0,1.0,1.0,1.0
352,4427.63750989868,1.0,1.0,1.0,1.0
353,4432.494549101615,1.0,1.0,1.0,1.0
354,4437.35691638973,1.0,1.0,0.6891274783474001,1.0
355,4442.224617607848,1.0,1.0,0.19031877292619515,1.0
356,4447.097658607186,1.0,1.0,0.0,1.0
357,4451.9760452453975,1.0,1.0,0.0,1.0
358,4456.859783386544,1.0,1.0,0.0,1.0
359,4461.748878901138,1.0,1.0,0.0,1.0
360,4466.643337666112,1.0,1.0,0.0,1.0
361,4471.543165564866,1.0,1.0,0.0,1.0
362,4476.448368487235,1.0,1.0,0.0,1.0
363,4481.358952329531,1.0,1.0,0.0,1.0
364,4486.27492299452,1.0,1.0,0.0,1.0
365,4491.196286391459,1.0,1.0,0.0,1.0
366,4496.1230484360685,1.0,1.0,0.0,1.0
367,4501.055215050578,1.0,1.0,0.0,1.0
368,4505.992792163695,1.0,1.0,0.0,1.0
369,4510.935785710649,1.0,1.0,0.0,1.0
370,4515.884201633162,1.0,1.0,0.0,1.0
371,4520.838045879492,1.0,1.0,0.0,1.0
372,4525.797324404403,1.0,1.0,0.0,1.0
373,4530.762043169213,1.0,1.0,0.0,1.0
374,4535.732208141758,1.0,1.0,0.0,1.0
375,4540.7078252964375,1.0,1.0,0.0,1.0
376,4545.688900614192,1.0,1.0,0.0,1.0
377,4550.675440082536,1.0,1.0,0.0,1.0
378,4555.667449695535,1.0,1.0,0.0,1.0
379,4560.664935453851,1.0,1.0,0.0,1.0
380,4565.667903364708,1.0,1.0,0.0,1.0
381,4570.676359441938,1.0,1.0,0.0,1.0
382,4575.690309705952,1.0,1.0,0.0,1.0
383,4580.709760183785,1.0,1.0,0.0,1.0
384,4585.734716909067,1.0,1.0,0.0,1.0
385,4590.7651859220505,1.0,1.0,0.0,1.0
386,4595.801173269619,1.0,1.0,0.0,1.0
387,4600.842685005293,1.0,1.0,0.0,1.0
388,4605.889727189222,1.0,1.0,0.0,1.0
389,4610.942305888205,1.0,1.0,0.0,1.0
390,4616.000427175704,1.0,1.0,0.0,1.0
391,4621.064097131845,1.0,1.0,0.0,1.0
392,4626.133321843413,1.0,1.0,0.0,1.0
393,4631.208107403871,1.0,1.0,0.0,1.0
394,4636.2884599133795,1.0,1.0,0.0,1.0
395,4641.3743854787745,1.0,1.0,0.0,1.0
396,4646.465890213606,1.0,1.0,0.0,1.0
397,4651.5629802381145,1.0,1.0,0.0,1.0
398,4656.6656616792725,1.0,1.0,0.0,1.0
399,4661.773940670755,1.0,1.0,0.0,1.0
400,4666.887823352984,1.0,1.0,0.0,1.0
401,4672.007315873098,1.0,1.0,0.0,1.0
402,4677.1324243849995,1.0,1.0,0.0,1.0
403,4682.26315504932,1.0,1.0,0.0,1.0
404,4687.399514033471,1.0,1.0,0.0,1.0
405,4692.541507511609,1.0,1.0,0.0,1.0
406,4697.689141664682,1.0,1.0,0.0,1.0
407,4702.842422680401,1.0,1.0,0.0,1.0
408,4708.0013567532815,1.0,1.0,0.0,1.0
409,4713.165950084619,1.0,1.0,0.0,1.0
410,4718.336208882526,1.0,1.0,0.0,1.0
411,4723.51213936191,1.0,1.0,0.0,1.0
412,4728.693747744513,1.0,1.0,0.0,1.0
413,4733.881040258884,1.0,1.0,0.0,1.0
414,4739.074023140423,1.0,1.0,0.0,1.0
415,4744.272702631353,1.0,1.0,0.0,1.0
416,4749.477084980762,1.0,1.0,0.0,1.0
417,4754.687176444572,1.0,1.0,0.0,1.0
418,4759.902983285591,1.0,1.0,0.0,1.0
419,4765.124511773476,1.0,1.0,0.0,1.0
420,4770.35176818478,1.0,1.0,0.0,1.0
421,4775.584758802924,1.0,1.0,0.0,1.0
422,4780.823489918239,1.0,1.0,0.0,1.0
423,4786.067967827939,1.0,1.0,0.0,1.0
424,4791.318198836164,1.0,1.0,0.0,1.0
425,4796.574189253951,1.0,1.0,0.0,1.0
426,4801.835945399278,1.0,1.0,0.0,1.0
427,4807.103473597037,1.0,1.0,0.0,1.0
428,4812.376780179075,1.0,1.0,0.0,1.0
429,4817.655871484165,1.0,1.0,0.0,1.0
430,4822.940753858057,1.0,1.0,0.0,1.0
431,4828.23143365344,1.0,1.0,0.0,1.0
432,4833.52791722999,1.0,1.0,0.0,1.0
433,4838.830210954343,1.0,1.0,0.0,1.0
434,4844.138321200136,1.0,1.0,0.0,1.0
435,4849.452254347979,1.0,1.0,0.0,1.0
436,4854.772016785502,1.0,1.0,0.0,1.0
437,4860.097614907322,1.0,1.0,0.0,1.0
438,4865.42905511509,1.0,1.0,0.0,1.0
439,4870.7663438174595,1.0,1.0,0.0,1.0
440,4876.109487430135,1.0,1.0,0.0,1.0
441,4881.458492375838,1.0,1.0,0.0,1.0
442,4886.8133650843565,1.0,1.0,0.0,1.0
443,4892.174111992511,1.0,1.0,0.0,1.0
444,4897.5407395442035,1.0,1.0,0.0,1.0
445,4902.9132541903855,1.0,1.0,0.0,1.0
446,4908.291662389103,1.0,1.0,0.0,1.0
447,4913.67597060547,1.0,1.0,0.0,1.0
448,4919.066185311708,1.0,1.0,0.0,1.0
449,4924.4623129871225,1.0,1.0,0.0,1.0
450,4929.864360118145,1.0,1.0,0.0,1.0
451,4935.272333198301,1.0,1.0,0.0,1.0
452,4940.686238728262,1.0,1.0,0.0,1.0
453,4946.106083215809,1.0,1.0,0.0,1.0
454,4951.5318731758825,1.0,1.0,0.0,1.0
455,4956.963615130549,1.0,1.0,0.0,1.0
456,4962.401315609051,1.0,1.0,0.0,1.0
457,4967.844981147773,1.0,1.0,0.0,1.0
458,4973.294618290289,1.0,1.0,0.0,1.0
459,4978.750233587335,1.0,1.0,0.0,1.0
460,4984.211833596836,1.0,1.0,0.0,1.0
461,4989.679424883921,1.0,1.0,0.0,1.0
462,4995.153014020917,1.0,1.0,0.0,1.0
463,5000.632607587354,1.0,1.0,0.0,1.0
464,5006.118212169979,1.0,1.0,0.0,1.0
465,5011.609834362775,1.0,1.0,0.0,1.0
466,5017.107480766956,1.0,1.0,0.0,1.0
