,Times,min_velocity,max_velocity
613,11.12999999999987,8441.918157526557,15761.17057292733
614,11.13999999999987,8435.075217282872,15759.314915537543
615,11.149999999999869,8428.233426747622,15757.459166461496
616,11.159999999999869,8421.392796060665,15755.603325699192
617,11.169999999999868,8414.553335361863,15753.747393250631
618,11.179999999999868,8407.715054791075,15751.89136911581
619,11.189999999999868,8400.877964488162,15750.03525329473
620,11.199999999999868,8394.04207459298,15748.179045787394
621,11.209999999999868,8387.20739524539,15746.322746593798
622,11.219999999999867,8380.373936585256,15744.466355713947
623,11.229999999999867,8373.541708752437,15742.609873147836
624,11.239999999999867,8366.710721886788,15740.753298895466
625,11.249999999999867,8359.880986128173,15738.89663295684
626,11.259999999999867,8353.05251161645,15737.039875331955
627,11.269999999999866,8346.225308491481,15735.18302602081
628,11.279999999999866,8339.399386893125,15733.326085023407
629,11.289999999999866,8332.57475696124,15731.46905233975
630,11.299999999999866,8325.751428835685,15729.61192796983
631,11.309999999999865,8318.929412656325,15727.754711913654
632,11.319999999999865,8312.108718563013,15725.89740417122
633,11.329999999999865,8305.289356695617,15724.040004742526
634,11.339999999999865,8298.47133719399,15722.182513627577
635,11.349999999999865,8291.654670197997,15720.324930826368
636,11.359999999999864,8284.839365847492,15718.467256338901
637,11.369999999999864,8278.02543428234,15716.609490165178
638,11.379999999999864,8271.212885642399,15714.751632305195
639,11.389999999999864,8264.40173006753,15712.893682758953
640,11.399999999999864,8257.591977697588,15711.035641526452
641,11.409999999999863,8250.783638672438,15709.177508607696
642,11.419999999999863,8243.97672313194,15707.31928400268
643,11.429999999999863,8237.17124121595,15705.460967711408
644,11.439999999999863,8230.367203064332,15703.602559733876
645,11.449999999999863,8223.564618816941,15701.744060070087
646,11.459999999999862,8216.763498613644,15699.885468720038
647,11.469999999999862,8209.963852594292,15698.02678568373
648,11.479999999999862,8203.165690898753,15696.168010961168
649,11.489999999999862,8196.36902366688,15694.309144552344
650,11.499999999999861,8189.573861038539,15692.450186457265
651,11.509999999999861,8182.780213153586,15690.591136675926
652,11.519999999999861,8175.988090151881,15688.731995208329
653,11.52999999999986,8169.197502173287,15686.872762054474
654,11.53999999999986,8162.408459357659,15685.013437214362
655,11.54999999999986,8155.620971844861,15683.15402068799
656,11.55999999999986,8148.8350497747515,15681.29451247536
657,11.56999999999986,8142.050703287189,15679.434912576475
658,11.57999999999986,8135.267942522035,15677.57522099133
659,11.58999999999986,8128.486777619149,15675.715437719926
660,11.59999999999986,8121.7072187183885,15673.855562762263
661,11.609999999999859,8114.929275959617,15671.995596118342
662,11.619999999999859,8108.152959482694,15670.135537788165
663,11.629999999999859,8101.3782794274775,15668.27538777173
664,11.639999999999858,8094.605245933829,15666.415146069034
665,11.649999999999858,8087.833869141607,15664.554812680082
666,11.659999999999858,8081.06415919067,15662.694387604874
667,11.669999999999858,8074.296126220881,15660.833870843402
668,11.679999999999858,8067.529780372098,15658.973262395677
669,11.689999999999857,8060.765131784181,15657.112562261691
670,11.699999999999857,8054.002190596991,15655.25177044145
671,11.709999999999857,8047.240966950387,15653.390886934947
672,11.719999999999857,8040.481470984228,15651.529911742187
673,11.729999999999857,8033.723712838376,15649.66884486317
674,11.739999999999856,8026.967702652687,15647.807686297896
675,11.749999999999856,8020.213450567027,15645.946436046363
676,11.759999999999856,8013.460966721251,15644.08509410857
677,11.769999999999856,8006.710261255219,15642.223660484522
678,11.779999999999855,7999.961344308792,15640.362135174211
679,11.789999999999855,7993.214226021831,15638.500518177647
680,11.799999999999855,7986.468916534193,15636.638809494822
681,11.809999999999855,7979.725425985742,15634.77700912574
682,11.819999999999855,7972.983764516333,15632.9151170704
683,11.829999999999854,7966.243942265829,15631.0531333288
684,11.839999999999854,7959.50596937409,15629.191057900944
685,11.849999999999854,7952.769855980975,15627.32889078683
686,11.859999999999854,7946.035612226342,15625.466631986455
687,11.869999999999854,7939.303248250054,15623.604281499825
688,11.879999999999853,7932.57277419197,15621.741839326936
689,11.889999999999853,7925.844200191948,15619.879305467788
690,11.899999999999853,7919.117536389851,15618.016679922383
691,11.909999999999853,7912.392792925535,15616.15396269072
692,11.919999999999852,7905.669979938862,15614.291153772798
693,11.929999999999852,7898.949107569693,15612.428253168617
694,11.939999999999852,7892.230185957886,15610.56526087818
695,11.949999999999852,7885.513225243301,15608.702176901485
696,11.959999999999852,7878.7982355658005,15606.83900123853
697,11.969999999999851,7872.085227065239,15604.975733889318
698,11.979999999999851,7865.374209881481,15603.112374853847
699,11.989999999999851,7858.665194154385,15601.248924132118
700,11.99999999999985,7851.95819002381,15599.38538172413
701,12.00999999999985,7845.253207629618,15597.521747629886
702,12.01999999999985,7838.550257111667,15595.658021849384
703,12.02999999999985,7831.849348609817,15593.794204382622
704,12.03999999999985,7825.150492263926,15591.930295229602
705,12.04999999999985,7818.453698213859,15590.066294390326
706,12.05999999999985,7811.758976599472,15588.20220186479
707,12.06999999999985,7805.066337560625,15586.338017652995
708,12.079999999999849,7798.375791237178,15584.473741754944
709,12.089999999999849,7791.687347768993,15582.609374170635
710,12.099999999999849,7785.001017295928,15580.744914900068
711,12.109999999999848,7778.316809957841,15578.88036394324
712,12.119999999999848,7771.634735894596,15577.015721300158
713,12.129999999999848,7764.954805246051,15575.150986970815
714,12.139999999999848,7758.277028152064,15573.286160955215
715,12.149999999999848,7751.601414752497,15571.421243253355
716,12.159999999999847,7744.927975187209,15569.556233865238
717,12.169999999999847,7738.25671959606,15567.691132790864
718,12.179999999999847,7731.587658118912,15565.82594003023
719,12.189999999999847,7724.920800895623,15563.96065558334
720,12.199999999999847,7718.256158066051,15562.09527945019
721,12.209999999999846,7711.593739770058,15560.229811630783
722,12.219999999999846,7704.933556147503,15558.364252125117
723,12.229999999999846,7698.275617338247,15556.498600933193
724,12.239999999999846,7691.619933482149,15554.63285805501
725,12.249999999999845,7684.966514719069,15552.76702349057
726,12.259999999999845,7678.315371188866,15550.901097239874
727,12.269999999999845,7671.666513031402,15549.035079302917
728,12.279999999999845,7665.019950386534,15547.168969679704
729,12.289999999999845,7658.375693394126,15545.302768370231
730,12.299999999999844,7651.733752194032,15543.436475374501
731,12.309999999999844,7645.094136926117,15541.570090692512
732,12.319999999999844,7638.456857730239,15539.703614324264
733,12.329999999999844,7631.821924746257,15537.83704626976
734,12.339999999999844,7625.189348114033,15535.970386528998
735,12.349999999999843,7618.559137973424,15534.103635101977
736,12.359999999999843,7611.931304464292,15532.236791988696
737,12.369999999999843,7605.305857726496,15530.36985718916
738,12.379999999999843,7598.682807899896,15528.502830703364
739,12.389999999999842,7592.062165124352,15526.635712531312
740,12.399999999999842,7585.443939539724,15524.768502672998
741,12.409999999999842,7578.82814128587,15522.901201128429
742,12.419999999999842,7572.214780502654,15521.0338078976
743,12.429999999999842,7565.603867329933,15519.166322980514
744,12.439999999999841,7558.995411907564,15517.298746377171
745,12.449999999999841,7552.389424375414,15515.43107808757
746,12.459999999999841,7545.785914873336,15513.563318111708
747,12.46999999999984,7539.1848935411945,15511.695466449588
748,12.47999999999984,7532.586370518848,15509.827523101212
749,12.48999999999984,7525.990355946154,15507.959488066577
750,12.49999999999984,7519.396859962975,15506.091361345685
751,12.50999999999984,7512.80589270917,15504.223142938532
752,12.51999999999984,7506.2174643246,15502.354832845123
753,12.52999999999984,7499.631584949124,15500.486431065458
754,12.53999999999984,7493.0482647226,15498.61793759953
755,12.549999999999839,7486.467513784889,15496.749352447347
756,12.559999999999839,7479.889342275855,15494.880675608907
757,12.569999999999839,7473.313760335351,15493.011907084207
758,12.579999999999838,7466.740778103241,15491.143046873247
759,12.589999999999838,7460.170405719384,15489.274094976032
760,12.599999999999838,7453.602653323638,15487.405051392558
761,12.609999999999838,7447.037531055869,15485.535916122824
762,12.619999999999838,7440.475049055928,15483.666689166836
763,12.629999999999837,7433.915217463681,15481.797370524586
764,12.639999999999837,7427.358046418986,15479.927960196079
765,12.649999999999837,7420.803546061705,15478.058458181315
766,12.659999999999837,7414.251726531695,15476.188864480291
767,12.669999999999837,7407.702597968814,15474.31917909301
768,12.679999999999836,7401.156170512927,15472.449402019469
769,12.689999999999836,7394.612454303892,15470.579533259674
770,12.699999999999836,7388.071459481567,15468.709572813617
771,12.709999999999836,7381.533196185814,15466.839520681304
772,12.719999999999835,7374.99767455649,15464.969376862731
773,12.729999999999835,7368.464904733459,15463.099141357901
774,12.739999999999835,7361.934896856578,15461.228814166814
775,12.749999999999835,7355.4076610657075,15459.358395289468
776,12.759999999999835,7348.8832075007085,15457.487884725864
777,12.769999999999834,7342.361546301439,15455.617282476001
778,12.779999999999834,7335.842687607757,15453.74658853988
779,12.789999999999834,7329.326641559528,15451.875802917502
780,12.799999999999834,7322.81341829661,15450.004925608866
781,12.809999999999834,7316.30302795886,15448.13395661397
782,12.819999999999833,7309.795480686137,15446.262895932818
783,12.829999999999833,7303.290786618307,15444.391743565408
784,12.839999999999833,7296.788955895225,15442.520499511736
785,12.849999999999833,7290.28999865675,15440.64916377181
786,12.859999999999832,7283.793925042748,15438.777736345624
787,12.869999999999832,7277.300745193072,15436.90621723318
788,12.879999999999832,7270.8104692475845,15435.03460643448
789,12.889999999999832,7264.3231073461475,15433.16290394952
790,12.899999999999832,7257.838669628616,15431.291109778302
791,12.909999999999831,7251.357166234855,15429.419223920824
792,12.919999999999831,7244.87860730472,15427.547246377091
793,12.929999999999831,7238.403002978075,15425.675177147099
794,12.93999999999983,7231.930363394777,15423.803016230848
795,12.94999999999983,7225.4606986946865,15421.93076362834
796,12.95999999999983,7218.994019017663,15420.058419339573
797,12.96999999999983,7212.530334503568,15418.185983364547
798,12.97999999999983,7206.069655292258,15416.313455703264
799,12.98999999999983,7199.611991523597,15414.440836355721
800,12.99999999999983,7193.157353337442,15412.568125321925
801,13.00999999999983,7186.7057508736525,15410.695322601865
802,13.019999999999829,7180.2571942720915,15408.82242819555
803,13.029999999999829,7173.8116936726165,15406.949442102978
804,13.039999999999829,7167.3692592150865,15405.076364324144
805,13.049999999999828,7160.929901039365,15403.203194859054
806,13.059999999999828,7154.493629285308,15401.329933707708
807,13.069999999999828,7148.060454092775,15399.4565808701
808,13.079999999999828,7141.630385601629,15397.583136346237
809,13.089999999999828,7135.2034339517295,15395.709600136113
810,13.099999999999827,7128.779609282937,15393.835972239733
811,13.109999999999827,7122.358921735105,15391.962252657095
812,13.119999999999827,7115.941381448101,15390.088441388198
813,13.129999999999827,7109.526998561781,15388.214538433043
814,13.139999999999826,7103.115783216006,15386.34054379163
815,13.149999999999826,7096.707745550636,15384.46645746396
816,13.159999999999826,7090.30289570553,15382.59227945003
817,13.169999999999826,7083.901243820548,15380.718009749842
818,13.179999999999826,7077.502800035551,15378.843648363398
819,13.189999999999825,7071.107574490397,15376.969195290692
820,13.199999999999825,7064.715577324948,15375.094650531733
821,13.209999999999825,7058.326818679064,15373.220014086512
822,13.219999999999825,7051.9413086926,15371.345285955034
823,13.229999999999825,7045.559057505421,15369.470466137298
