log Total_Ejecta_Mass_(solmass),Fraction_Core_IGE/burned,Fraction_Core_IGE/burned_lower_limit,Fraction_Core_IGE/burned_upper_limit
0.28973720038473494,0.4571428882101155,0.22857144410505775,0.6857143323151733
0.2905545933765077,0.4605827052078507,0.23029135260392536,0.690874057811776
0.2913719863682804,0.46402252220558593,0.23201126110279296,0.696033783308379
0.29218937936005307,0.4674623392033209,0.23373116960166046,0.7011935088049814
0.2930067723518258,0.47090215620105613,0.23545107810052807,0.7063532343015841
0.2938241653435985,0.47434197319879134,0.23717098659939567,0.7115129597981871
0.2946415583353712,0.47778179019652633,0.23889089509826317,0.7166726852947896
0.2954589513271439,0.4812216071942613,0.24061080359713066,0.721832410791392
0.2962763443189166,0.4846614241919963,0.24233071209599816,0.7269921362879945
0.29709373731068933,0.48810124118973175,0.24405062059486587,0.7321518617845977
0.297911130302462,0.49154105818746674,0.24577052909373337,0.7373115872812002
0.2987285232942347,0.49498087518520173,0.24749043759260086,0.7424713127778027
0.29954591628600746,0.49842069218293716,0.24921034609146858,0.7476310382744058
0.30036330927778015,0.5018605091806722,0.2509302545903361,0.7527907637710083
0.30118070226955285,0.5053003261784074,0.2526501630892037,0.757950489267611
