Wavelength,Scale_Factor_50
2742.184362029184,1.074537268634317
2744.3930426714123,1.0665332666333167
2746.6035022859987,1.0665332666333167
2748.815742305808,1.074537268634317
2751.02976416486,1.0710355177588795
2753.245569298333,1.0655327663831915
2755.4631591425514,1.069534767383692
2757.682535135006,1.0680340170085043
2759.903698714342,1.048024012006003
2762.126651320364,1.0720360180090045
2764.3513943940357,1.074537268634317
2766.5779293774813,1.074537268634317
2768.806257713987,1.072536268134067
2771.0363808480015,1.0765382691345673
2773.268300225137,1.070535267633817
2775.502017292169,1.0755377688844423
2777.7375334970425,1.0805402701350675
2779.9748502888597,1.072536268134067
2782.2139691178986,1.0850425212606303
2784.454891435602,1.0855427713856929
2786.697618694582,1.0840420210105053
2788.9421523486217,1.0875437718859429
2791.188493852673,1.0665332666333167
2793.4366446628624,1.0930465232616309
2795.6866062364866,1.0925462731365683
2797.9383800320174,1.0850425212606303
2800.1919675091017,1.0915457728864433
2802.447370128561,1.082041020510255
2804.704589352394,1.0605302651325663
2806.96362664378,1.0860430215107553
2809.2244834670687,1.0865432716358179
2811.4871612877955,1.0855427713856929
2813.7516615726763,1.0860430215107553
2816.0179857896064,1.0840420210105053
2818.2861354076645,1.0855427713856929
2820.5561118971114,1.0855427713856929
2822.8279167293936,1.0795397698849425
2825.1015513771417,1.0835417708854427
2827.377017314173,1.0875437718859429
2829.6543160154906,1.0865432716358179
2831.933448957288,1.0915457728864433
2834.214417616948,1.0935467733866933
2836.497223473037,1.0815407703851925
2838.7818680053197,1.0850425212606303
2841.068352694749,1.0790395197598799
2843.356679023472,1.0840420210105053
2845.64684847483,1.0835417708854427
2847.9388625333577,1.07703851925963
2850.2327226847856,1.0765382691345673
2852.528430416042,1.0675337668834417
2854.8259872152516,1.071535767883942
2857.1253945717385,1.0655327663831915
2859.426653976026,1.066033016508254
2861.7297669198383,1.066033016508254
2864.0347348961036,1.064032016008004
2866.3415593989444,1.0665332666333167
2868.6502419236945,1.0445222611305653
2870.9607839668897,1.0585292646323161
2873.2731870262714,1.0595297648824413
2875.587452600787,1.048024012006003
2877.9035821905914,1.0495247623811905
2880.2215772970476,1.0540270135067533
2882.541439422728,1.0575287643821911
2884.8631700714154,1.0605302651325663
2887.1867707481038,1.0560280140070035
2889.5122429590015,1.063031515757879
2891.8395882115224,1.0600300150075037
2894.168808014303,1.0650325162581291
2896.499903877191,1.0625312656328163
2898.8328773112517,1.0650325162581291
2901.1677298287664,1.0675337668834417
2903.5044629432346,1.063031515757879
2905.8430781693755,1.0680340170085043
2908.183577023128,1.0710355177588795
2910.525961021651,1.0755377688844423
2912.870231683327,1.0790395197598799
2915.2163905277607,1.074537268634317
2917.5644390757807,1.0785392696348175
2919.914378849444,1.0740370185092547
2922.2662113720235,1.07703851925963
2924.6199381680294,1.0755377688844423
2926.9755607631955,1.073536768384192
2929.3330806844856,1.0710355177588795
2931.692499460092,1.0665332666333167
2934.0538186194403,1.0625312656328163
2936.4170396931854,1.0585292646323161
2938.782164213216,1.0605302651325663
2941.1491937126557,1.0550275137568785
2943.518129725861,1.0500250125062531
2945.8889737884256,1.0530265132566283
2948.2617274371823,1.0485242621310655
2950.636392210194,1.0515257628814407
2953.0129696467698,1.0515257628814407
2955.3914612874564,1.0510255127563781
2957.771868674042,1.055527763881941
2960.154193349555,1.0500250125062531
2962.538436858268,1.0550275137568785
2964.9246007456973,1.054527263631816
2967.312686558603,1.0585292646323161
2969.7026958449924,1.0625312656328163
2972.0946301541185,1.055527763881941
2974.4884910364826,1.0600300150075037
2976.8842800438356,1.0615307653826913
2979.2819987291796,1.0655327663831915
2981.6816486467596,1.0665332666333167
2984.083231352082,1.0675337668834417
2986.4867484019014,1.064032016008004
2988.8922013542283,1.0665332666333167
2991.2995917683265,1.066033016508254
2993.7089212047163,1.063031515757879
2996.120191225175,1.064032016008004
2998.533403392738,1.0610305152576287
3000.9485592716987,1.0615307653826913
3003.3656604276116,1.0580290145072537
3005.7847084272944,1.0595297648824413
3008.2057048388183,1.0550275137568785
3010.6286512315264,1.053526763381691
3013.0535491760224,1.0445222611305653
3015.4804002441756,1.053526763381691
3017.9092060091207,1.0505252626313157
3020.33996804526,1.0495247623811905
3022.772687928264,1.048024012006003
3025.2073672350716,1.0500250125062531
3027.6440075438927,1.0510255127563781
3030.082610434208,1.0530265132566283
3032.5231774867702,1.0505252626313157
3034.965710283605,1.0575287643821911
3037.4102104080166,1.0615307653826913
3039.8566794445737,1.063031515757879
3042.3051189791313,1.0645322661330665
3044.755530598819,1.0590295147573787
3047.2079158920437,1.0635317658829415
3049.6622764484932,1.0590295147573787
3052.118613859134,1.0720360180090045
3054.576929716215,1.071535767883942
3057.0372256132673,1.0720360180090045
3059.4995031451062,1.0760380190095047
3061.9637639078305,1.0760380190095047
3064.430009498828,1.0665332666333167
3066.8982415167643,1.0730365182591295
3069.368461561601,1.0710355177588795
3071.8406712345864,1.071535767883942
3074.3148721382577,1.0690345172586293
3076.7910658764436,1.0650325162581291
3079.269254054263,1.0610305152576287
3081.74943827813,1.0530265132566283
3084.2316201557505,1.054527263631816
3086.7158012961268,1.0500250125062531
3089.201983309556,1.047023511755878
3091.690167807633,1.0445222611305653
3094.18035640325,1.0415207603801901
3096.6725507106025,1.032016008004002
3099.166752345176,1.0330165082541272
3101.662962923767,1.0335167583791895
3104.1611840644696,1.031015507753877
3106.661417386684,1.0305152576288144
3109.1636645111125,1.0190095047523762
3111.6679270597638,1.0110055027513758
3114.174206655952,1.0155077538769384
3116.6825049243,1.0145072536268134
3119.192823490738,1.0140070035017508
3121.705163982507,1.0120060030015008
3124.2195280281585,1.007503751875938
3126.7359172575575,1.0080040020010006
3129.254333301874,1.006503251625813
