log Sparks,Fraction_Core_Ni56/IGE,Fraction_Core_Ni56/IGE_lower_limit,Fraction_Core_Ni56/IGE_upper_limit
0.8016447448030591,0.6917341084850398,0.5533872867880318,0.8300809301820478
0.8147864619309781,0.6912182462043428,0.5529745969634743,0.8294618954452113
0.8279281790588972,0.690707565573821,0.5525660524590568,0.8288490786885852
0.8410698961868162,0.6902020665934739,0.5521616532747792,0.8282424799121687
0.8542116133147352,0.689701749263302,0.5517613994106416,0.8276420991159623
0.8673533304426542,0.689206613583305,0.5513652908666441,0.827047936299966
0.8804950475705732,0.688716659553483,0.5509733276427865,0.8264599914641796
0.8936367646984922,0.688231887173836,0.5505855097390688,0.8258782646086031
0.9067784818264112,0.687752296444364,0.5502018371554912,0.8253027557332367
0.9199201989543302,0.687277887365067,0.5498223098920536,0.8247334648380804
0.9330619160822492,0.6868086599359449,0.5494469279487559,0.8241703919231338
0.9462036332101682,0.6863446141569979,0.5490756913255983,0.8236135369883975
0.9593453503380872,0.6858857500282258,0.5487086000225807,0.823062900033871
0.9724870674660062,0.6854320675496287,0.548345654039703,0.8225184810595544
0.9856287845939252,0.6849835667212065,0.5479868533769653,0.8219802800654478
0.9987705017218442,0.6845402475429594,0.5476321980343676,0.8214482970515512
1.0119122188497631,0.6841021100148873,0.5472816880119099,0.8209225320178647
1.0250539359776822,0.6836691541369901,0.5469353233095922,0.8204029849643881
1.0381956531056011,0.6832413799092679,0.5465931039274143,0.8198896558911215
1.0513373702335203,0.6828187873317207,0.5462550298653767,0.8193825447980648
1.0644790873614391,0.6824013764043485,0.5459211011234788,0.8188816516852182
1.0776208044893583,0.6819891471271513,0.5455913177017211,0.8183869765525815
1.0907625216172772,0.681582099500129,0.5452656796001033,0.8178985194001548
1.1039042387451963,0.6811802335232818,0.5449441868186254,0.8174162802279382
1.1170459558731152,0.6807835491966095,0.5446268393572876,0.8169402590359315
1.1301876730010343,0.6803920465201123,0.5443136372160898,0.8164704558241348
1.1433293901289532,0.68000572549379,0.5440045803950321,0.816006870592548
1.1564711072568723,0.6796245861176426,0.5436996688941141,0.8155495033411712
1.1696128243847912,0.6792486283916703,0.5433989027133362,0.8150983540700044
1.1827545415127103,0.6788778523158729,0.5431022818526984,0.8146534227790475
1.1958962586406292,0.6785122578902506,0.5428098063122005,0.8142147094683007
1.2090379757685483,0.6781518451148032,0.5425214760918425,0.8137822141377639
1.2221796928964672,0.6777966139895308,0.5422372911916247,0.813355936787437
1.2353214100243863,0.6774465645144334,0.5419572516115467,0.8129358774173201
1.2484631271523052,0.677101696689511,0.5416813573516088,0.8125220360274132
1.2616048442802241,0.6767620105147636,0.5414096084118108,0.8121144126177163
1.2747465614081432,0.6764275059901911,0.5411420047921529,0.8117130071882293
1.2878882785360621,0.6760981831157936,0.5408785464926349,0.8113178197389523
1.3010299956639813,0.6757740418915712,0.540619233513257,0.8109288502698854
