log Sparks,velocity,velocity_lower_limit,velocity_upper_limit
1.025140293596008,8378.729675983588,5865.110773188511,10892.348578778665
1.0329360580949876,8393.778303721572,5875.6448126051,10911.911794838044
1.0405943494887446,8408.561558950581,5885.993091265406,10931.130026635756
1.0481199323711294,8423.08863904942,5896.162047334594,10950.015230764246
1.0555173278498313,8437.36827138108,5906.157789966755,10968.578752795403
1.0627908298594555,8451.40874478284,5915.986121347988,10986.831368217694
1.0699445201308986,8465.217938462545,5925.652556923781,11004.783320001308
1.0769822819476866,8478.803348553283,5935.162343987298,11022.444353119268
1.083907812805356,8492.172112550532,5944.520478785372,11039.823746315691
1.0907246360771983,8505.331031831252,5953.7317222818765,11056.930341380628
1.0974361117785134,8518.286592432762,5962.800614702933,11073.772570162591
1.1040454465117002,8531.04498425033,5971.731488975231,11090.358479525428
1.1105557026658652,8543.61211879573,5980.528483157011,11106.69575443445
1.1169698069370246,8555.993645644307,5989.195551951014,11122.7917393376
1.1232905582282267,8568.19496768503,5997.736477379522,11138.65345799054
1.1295206349829803,8580.221255276661,6006.154878693663,11154.28763185966
1.135662602000073,8592.0774594028,6014.45422158196,11169.700697223641
1.141718916773183,8603.768323909611,6022.637826736727,11184.898821082495
1.1476919353944965,8615.298396901935,6030.708877831355,11199.887915972517
1.15358391805783,8626.67204136628,6038.670428956396,11214.673653776164
1.1593970341934203,8637.893445082827,6046.525411557979,11229.261478607676
1.1651333672635782,8648.966629882752,6054.276640917927,11243.656618847579
1.1707949192457328,8659.895460302123,6061.926822211486,11257.86409839276
1.1763836148270066,8670.68365167893,6069.478556175251,11271.88874718261
1.1819013053323122,8681.334777735728,6076.93434441501,11285.735211056448
1.1873497724060318,8691.852277686607,6084.296594380624,11299.407960992588
1.1927307314655984,8702.23946290383,6091.56762403268,11312.911301774979
1.1980458349437315,8712.499523176528,6098.749666223569,11326.249380129486
1.203296675334659,8722.635532590997,6105.844872813697,11339.426192368297
1.208484788058375,8732.650455059746,6112.855318541821,11352.445591577669
1.2136116541558237,8742.547149524169,6119.783004666918,11365.31129438142
1.2186787028268498,8752.328374853705,6126.629862397594,11378.026887309818
1.2236873138217867,8761.996794462462,6133.397756123723,11390.595832801202
1.2286388196967077,8771.554980662659,6140.088486463861,11403.021474861456
1.233534507941551,8781.005418772675,6146.703793140872,11415.307044404477
1.2383756229896294,8790.350510996128,6153.245357697289,11427.455664294966
1.2431633681163672,8799.592580087114,6159.714806060979,11439.470354113248
1.247898907234512,8808.733872815614,6166.113710970929,11451.354034660299
1.2525833665925248,8817.776563246,6172.443594272199,11463.1095322198
1.2572178363823432,8826.722755840587,6178.70592908841,11474.739582592763
1.2618033722622637,8835.574488399352,6184.902141879546,11486.246834919159
1.2663409968002626,8844.333734846065,6191.033614392245,11497.633855299884
1.2708317008426915,8853.002407870348,6197.101685509243,11508.903130231452
1.2752764448129312,8861.58236143456,6203.107653004192,11520.05706986493
1.2796761599442616,8870.075393153675,6209.052775207572,11531.098011099777
1.2840317494509057,8878.483246555805,6214.938272589063,11542.028220522547
1.28834408964093,8886.80761323052,6220.765329261363,11552.849897199676
1.292614030974436,8895.050134871519,6226.535094410063,11563.565175332975
1.296842399070234,8903.21240521988,6232.248683653916,11574.176126785844
1.3010299956639813,8911.295971913614,6237.90718033953,11584.6847634877
