log Sparks,Fraction_Core_burned,Fraction_Core_burned_lower_limit,Fraction_Core_burned_upper_limit
0.8147864619309781,0.6935516059522672,0.5548412847618137,0.8322619271427206
0.8279281790588972,0.692362468851841,0.5538899750814729,0.8308349626222092
0.8410698961868162,0.6911187149889163,0.552894971991133,0.8293424579866996
0.8542116133147352,0.6898203443634932,0.5518562754907945,0.8277844132361918
0.8673533304426542,0.6884673569755714,0.5507738855804571,0.8261608283706856
0.8804950475705732,0.6870597528251511,0.5496478022601209,0.8244717033901813
0.8936367646984922,0.6855975319122323,0.5484780255297859,0.8227170382946787
0.9067784818264112,0.6840806942368151,0.5472645553894521,0.820896833084178
0.9199201989543302,0.6825092397988992,0.5460073918391194,0.819011087758679
0.9330619160822492,0.6808831685984849,0.544706534878788,0.8170598023181818
0.9462036332101682,0.6792024806355721,0.5433619845084577,0.8150429767626864
0.9593453503380872,0.6774671759101607,0.5419737407281285,0.8129606110921929
0.9724870674660062,0.6756772544222508,0.5405418035378007,0.8108127053067009
0.9856287845939252,0.6738327161718424,0.5390661729374739,0.8085992594062108
0.9987705017218442,0.6719335611589355,0.5375468489271484,0.8063202733907227
1.0119122188497631,0.6699797893835301,0.535983831506824,0.8039757472602361
1.0250539359776822,0.6679714008456261,0.5343771206765009,0.8015656810147513
1.0381956531056011,0.6659083955452236,0.532726716436179,0.7990900746542683
1.0513373702335203,0.6637907734823227,0.5310326187858582,0.7965489281787873
1.0644790873614391,0.6616185346569232,0.5292948277255386,0.7939422415883078
1.0776208044893583,0.6593916790690252,0.5275133432552201,0.7912700148828302
1.0907625216172772,0.6571102067186286,0.5256881653749029,0.7885322480623543
1.1039042387451963,0.6547741176057336,0.5238192940845868,0.7857289411268803
1.1170459558731152,0.6523834117303401,0.5219067293842721,0.7828600940764081
1.1301876730010343,0.6499380890924479,0.5199504712739583,0.7799257069109374
1.1433293901289532,0.6474381496920574,0.5179505197536459,0.7769257796304688
1.1564711072568723,0.6448835935291682,0.5159068748233346,0.7738603122350018
1.1696128243847912,0.6422744206037806,0.5138195364830245,0.7707293047245367
1.1827545415127103,0.6396106309158944,0.5116885047327155,0.7675327570990733
1.1958962586406292,0.6368922244655097,0.5095137795724078,0.7642706693586117
1.2090379757685483,0.6341192012526266,0.5072953610021013,0.7609430415031518
1.2221796928964672,0.6312915612772448,0.5050332490217959,0.7575498735326938
1.2353214100243863,0.6284093045393646,0.5027274436314917,0.7540911654472375
1.2484631271523052,0.6254724310389859,0.5003779448311887,0.750566917246783
1.2616048442802241,0.6224809407761086,0.49798475262088693,0.7469771289313303
1.2747465614081432,0.6194348337507328,0.4955478670005863,0.7433218005008794
1.2878882785360621,0.6163341099628585,0.49306728797028687,0.7396009319554302
1.3010299956639813,0.6131787694124857,0.4905430155299886,0.7358145232949829
