log Sparks,Fraction_Core_IGE/burned,Fraction_Core_IGE/burned_lower_limit,Fraction_Core_IGE/burned_upper_limit
1.0513373702335203,0.8075266581857556,0.6460213265486046,0.8882793240043313
1.0644790873614391,0.8062717648784183,0.6450174119027348,0.8868989413662602
1.0776208044893583,0.8049952906451137,0.643996232516091,0.8854948197096251
1.0907625216172772,0.8036972354858417,0.6429577883886735,0.884066959034426
1.1039042387451963,0.8023775994006023,0.6419020795204818,0.8826153593406626
1.1170459558731152,0.8010363823893955,0.6408291059115164,0.8811400206283351
1.1301876730010343,0.7996735844522213,0.639738867561777,0.8796409428974434
1.1433293901289532,0.7982892055890797,0.6386313644712638,0.8781181261479877
1.1564711072568723,0.7968832457999707,0.6375065966399767,0.8765715703799679
1.1696128243847912,0.7954557050848944,0.6363645640679155,0.8750012755933839
1.1827545415127103,0.7940065834438507,0.6352052667550806,0.8734072417882358
1.1958962586406292,0.7925358808768396,0.6340287047014717,0.8717894689645236
1.2090379757685483,0.7910435973838611,0.6328348779070889,0.8701479571222472
1.2221796928964672,0.7895297329649154,0.6316237863719323,0.868482706261407
1.2353214100243863,0.7879942876200021,0.6303954300960017,0.8667937163820024
1.2484631271523052,0.7864372613491215,0.6291498090792973,0.8650809874840337
1.2616048442802241,0.7848586541522735,0.6278869233218188,0.8633445195675009
1.2747465614081432,0.7832584660294581,0.6266067728235666,0.861584312632404
1.2878882785360621,0.7816366969806755,0.6253093575845404,0.8598003666787432
1.3010299956639813,0.7799933470059254,0.6239946776047404,0.857992681706518
