log Total_Ejecta_Mass_(solmass),Fraction_Shell_burned,Fraction_Shell_burned_lower_limit,Fraction_Shell_burned_upper_limit
-0.040301083540568106,0.5328298311136741,0.1065659662227348,0.6393957973364089
-0.03906558259952946,0.5351834369079563,0.10703668738159124,0.6422201242895476
-0.03783008165849082,0.5375715760974391,0.1075143152194878,0.645085891316927
-0.03659458071745217,0.5399942486821225,0.10799884973642448,0.647993098418547
-0.03535907977641352,0.5424514546620065,0.10849029093240127,0.6509417455944078
-0.034123578835374875,0.544943194037091,0.10898863880741817,0.6539318328445092
-0.03288807789433623,0.5474694668073761,0.10949389336147519,0.6569633601688513
-0.03165257695329758,0.5500302729728618,0.11000605459457233,0.6600363275674341
-0.03041707601225893,0.552625612533548,0.11052512250670958,0.6631507350402576
-0.029181575071220288,0.5552554854894348,0.11105109709788694,0.6663065825873218
-0.027946074130181645,0.5579198918405223,0.11158397836810442,0.6695038702086267
-0.026710573189142994,0.5606188315868101,0.112123766317362,0.6727425979041721
-0.025475072248104344,0.5633523047282988,0.11267046094565973,0.6760227656739585
-0.0242395713070657,0.5661203112649879,0.11322406225299754,0.6793443735179854
-0.023004070366027057,0.5689228511968775,0.11378457023937547,0.682707421436253
-0.021768569424988407,0.5717599245239677,0.11435198490479352,0.6861119094287612
-0.020533068483949757,0.5746315312462585,0.11492630624925168,0.6895578374955103
-0.019297567542911113,0.57753767136375,0.11550753427274997,0.6930452056365
-0.01806206660187247,0.5804783448764419,0.11609566897528835,0.6965740138517302
-0.01682656566083382,0.5834535517843344,0.11669071035686686,0.7001442621412013
-0.01559106471979517,0.5864632920874275,0.11729265841748548,0.703755950504913
-0.014355563778756533,0.5895075657857212,0.11790151315714421,0.7074090789428654
-0.013120062837717883,0.5925863728792155,0.11851727457584306,0.7111036474550585
-0.011884561896679233,0.5956997133679103,0.11913994267358202,0.7148396560414924
-0.010649060955640582,0.5988475872518056,0.1197695174503611,0.7186171047021668
-0.009413560014601932,0.6020299945309017,0.12040599890618031,0.722435993437082
-0.008178059073563296,0.6052469352051981,0.1210493870410396,0.7262963222462377
-0.0069425581325246455,0.6084984092746953,0.12169968185493904,0.7301980911296344
-0.005707057191485995,0.611784416739393,0.12235688334787857,0.7341413000872715
-0.004471556250447359,0.6151049575992912,0.12302099151985821,0.7381259491191494
-0.0032360553094087086,0.61846003185439,0.12369200637087797,0.742152038225268
-0.0020005543683700583,0.6218496395046894,0.12436992790093786,0.7462195674056272
-0.000765053427331408,0.6252737805501895,0.12505475611003786,0.7503285366602274
0.00047044751370724225,0.6287324549908899,0.12574649099817795,0.7544789459890678
0.0017059484547458786,0.632225662826791,0.1264451325653582,0.7586707953921492
0.002941449395784529,0.6357534040578927,0.12715068081157851,0.7629040848694713
0.004176950336823179,0.639315678684195,0.12786313573683897,0.767178814421034
0.005412451277861816,0.6429124867056978,0.12858249734113952,0.7714949840468374
0.006647952218900466,0.6465438281224012,0.1293087656244802,0.7758525937468814
0.007883453159939116,0.6502097029343051,0.130041940586861,0.7802516435211662
0.009118954100977766,0.6539101111414097,0.13078202222828192,0.7846921333696917
0.010354455042016417,0.6576450527437149,0.13152901054874294,0.7891740632924579
0.011589955983055053,0.6614145277412204,0.13228290554824407,0.7936974332894645
0.012825456924093703,0.6652185361339268,0.13304370722678532,0.7982622433607122
0.014060957865132354,0.6690570779218336,0.13381141558436668,0.8028684935062003
0.01529645880617099,0.672930153104941,0.13458603062098817,0.8075161837259291
0.01653195974720964,0.6768377616832489,0.13536755233664977,0.8122053140198987
0.01776746068824829,0.6807799036567574,0.13615598073135146,0.8169358843881089
0.01900296162928694,0.6847565790254666,0.1369513158050933,0.82170789483056
0.02023846257032559,0.6887677877893763,0.13775355755787522,0.822179954
0.021473963511364227,0.6928135299484866,0.13856270598969728,0.822179954
0.022709464452402878,0.6968938055027973,0.13937876110055944,0.822179954
0.023944965393441528,0.7010086144523088,0.14020172289046173,0.822179954
0.025180466334480164,0.7051579567970208,0.14103159135940413,0.822179954
0.026415967275518815,0.7093418325369333,0.14186836650738663,0.822179954
0.027651468216557465,0.7135602416720463,0.14271204833440923,0.822179954
0.028886969157596115,0.7178131842023601,0.143562636840472,0.822179954
0.030122470098634765,0.7221006601278743,0.14442013202557483,0.822179954
0.0313579710396734,0.7264226694485891,0.1452845338897178,0.822179954
0.03259347198071205,0.7307792121645046,0.1461558424329009,0.822179954
0.0338289729217507,0.7351702882756206,0.1470340576551241,0.822179954
0.03506447386278934,0.7395958977819371,0.1479191795563874,0.822179954
0.03629997480382799,0.7440560406834542,0.1488112081366908,0.822179954
0.03753547574486664,0.748550716980172,0.14971014339603436,0.822179954
0.03877097668590529,0.7530799266720902,0.150615985334418,0.822179954
0.04000647762694394,0.757643669759209,0.15152873395184177,0.822179954
0.04124197856798258,0.7622419462415284,0.15244838924830564,0.822179954
