log Total_Ejecta_Mass_(solmass),Core_Fraction,Core_Fraction_lower_limit,Core_Fraction_upper_limit
-0.03535907977641352,0.9431912722412978,0.8987621734216563,0.9698309953464562
-0.034123578835374875,0.9430582988842282,0.8989314813544553,0.9699851901396036
-0.03288807789433623,0.9429238105693964,0.8991007892872542,0.9701393849327511
-0.03165257695329758,0.9427878072968027,0.8992700972200532,0.9702926860455567
-0.03041707601225893,0.9426502890664467,0.8994394051528521,0.9703741521893755
-0.029181575071220288,0.9425112558783286,0.8996087130856512,0.9704556183331942
-0.027946074130181645,0.9423707077324485,0.8997780210184501,0.9705370844770129
-0.026710573189142994,0.9422286446288061,0.8999473289512491,0.9706185506208317
-0.025475072248104344,0.9420850665674017,0.900116636884048,0.9707000167646505
-0.0242395713070657,0.9419399735482352,0.900285944816847,0.9707814829084692
-0.023004070366027057,0.9417933655713066,0.9004552527496459,0.970862949052288
-0.021768569424988407,0.9416452426366158,0.9006245606824449,0.9709444151961066
-0.020533068483949757,0.9414956047441629,0.9007938686152439,0.9710258813399254
-0.019297567542911113,0.9413444518939479,0.9009631765480428,0.9711073474837442
-0.01806206660187247,0.9411917840859708,0.9011324844808418,0.9711888136275629
-0.01682656566083382,0.9410376013202316,0.9013017924136407,0.9712702797713817
-0.01559106471979517,0.9408819035967303,0.9014711003464397,0.9713517459152005
-0.014355563778756533,0.9407246909154668,0.9016404082792386,0.9714332120590191
-0.013120062837717883,0.9405659632764414,0.9018097162120376,0.9715146782028379
-0.011884561896679233,0.9404057206796537,0.9019790241448365,0.9715961443466566
-0.010649060955640582,0.9402439631251039,0.9021483320776356,0.9716776104904754
-0.009413560014601932,0.940080690612792,0.9023176400104345,0.9717590766342942
-0.008178059073563296,0.939915903142718,0.9024869479432335,0.9718405427781129
-0.0069425581325246455,0.9397496007148819,0.9026562558760324,0.9719220089219316
-0.005707057191485995,0.9395817833292837,0.9028255638088314,0.9720034750657504
-0.004471556250447359,0.9394124509859233,0.9029948717416303,0.9720849412095691
-0.0032360553094087086,0.9392416036848008,0.9031641796744293,0.9721664073533879
-0.0020005543683700583,0.9390692414259163,0.9033334876072282,0.9722478734972066
-0.000765053427331408,0.9388953642092696,0.9035027955400272,0.9723293396410254
0.00047044751370724225,0.9387199720348608,0.9036944568806878,0.9724108057848441
0.0017059484547458786,0.9385430649026899,0.903908226611576,0.9724922719286628
0.002941449395784529,0.9383646428127569,0.9041219963424643,0.9725737380724816
0.004176950336823179,0.9381847057650617,0.9043357660733525,0.9726552042163004
0.005412451277861816,0.9380032537596045,0.9045495358042408,0.9727366703601191
0.006647952218900466,0.9378202867963851,0.9047633055351291,0.9728181365039379
0.007883453159939116,0.9376358048754037,0.9049770752660173,0.9728996026477565
0.009118954100977766,0.93744980799666,0.9051908449969055,0.9729810687915753
0.010354455042016417,0.9372622961601543,0.9054046147277938,0.9730625349353941
0.011589955983055053,0.9370732693658865,0.905618384458682,0.9731440010792128
0.012825456924093703,0.9368827276138566,0.9058321541895703,0.9728959169753768
0.014060957865132354,0.9366906709040645,0.9060459239204586,0.9700468586926683
0.01529645880617099,0.9364970992365104,0.9062596936513468,0.9671978004099596
0.01653195974720964,0.9363020126111941,0.906473463382235,0.9643487421272511
0.01776746068824829,0.9361054110281157,0.9066872331131233,0.9614996838445424
0.01900296162928694,0.9359072944872752,0.9069010028440115,0.9586506255618339
0.02023846257032559,0.9357076629886726,0.9071147725748998,0.9558015672791252
0.021473963511364227,0.9355065165323079,0.9073285423057881,0.9530253734612747
0.022709464452402878,0.935303855118181,0.9075423120366763,0.950383091244945
0.023944965393441528,0.9350996787462921,0.9077560817675645,0.9477408090286153
0.025180466334480164,0.934893987416641,0.9079698514984528,0.9450985268122857
0.026415967275518815,0.9346867811292278,0.908183621229341,0.942456244595956
0.027651468216557465,0.9344780598840525,0.9083973909602293,0.9398139623796263
0.028886969157596115,0.934267823681115,0.9086111606911176,0.9371716801632967
0.030122470098634765,0.9340560725204156,0.9088249304220058,0.934529397946967
0.0313579710396734,0.9338428064019539,0.909038700152894,0.9318871157306373
