log Total_Ejecta_Mass_(solmass),Fraction_Core_Ni56/IGE,Fraction_Core_Ni56/IGE_lower_limit,Fraction_Core_Ni56/IGE_upper_limit
-0.008178059073563296,0.8817970297135533,0.7054376237708427,0.904655045
-0.0069425581325246455,0.8826009089058441,0.7060807271246753,0.904655045
-0.005707057191485995,0.8833823274901874,0.70670586199215,0.904655045
-0.004471556250447359,0.8841412854665831,0.7073130283732665,0.904655045
-0.0032360553094087086,0.8848777828350314,0.7079022262680251,0.904655045
-0.0020005543683700583,0.8855918195955322,0.7084734556764258,0.904655045
-0.000765053427331408,0.8862833957480856,0.7090267165984685,0.904655045
0.00047044751370724225,0.8869525112926914,0.7095620090341531,0.904655045
0.0017059484547458786,0.8875991662293496,0.7100793329834798,0.904655045
0.002941449395784529,0.8882233605580605,0.7105786884464484,0.904655045
0.004176950336823179,0.888825094278824,0.7110600754230592,0.904655045
0.005412451277861816,0.8894043673916397,0.7115234939133118,0.904655045
0.006647952218900466,0.8899611798965081,0.7119689439172066,0.904655045
0.007883453159939116,0.8904955317934291,0.7123964254347434,0.904655045
0.009118954100977766,0.8910074230824025,0.7128059384659221,0.904655045
0.010354455042016417,0.8914968537634285,0.7131974830107428,0.904655045
0.011589955983055053,0.891963823836507,0.7135710590692056,0.904655045
0.012825456924093703,0.8924083333016379,0.7139266666413104,0.904655045
0.014060957865132354,0.8928303821588214,0.7142643057270571,0.904655045
0.01529645880617099,0.8932299704080574,0.714583976326446,0.904655045
0.01653195974720964,0.893607098049346,0.7148856784394768,0.904655045
0.01776746068824829,0.893961765082687,0.7151694120661496,0.904655045
0.01900296162928694,0.8942939715080805,0.7154351772064644,0.904655045
0.02023846257032559,0.8946037173255267,0.7156829738604213,0.904655045
0.021473963511364227,0.8948910025350252,0.7159128020280202,0.904655045
0.022709464452402878,0.8951558271365763,0.716124661709261,0.904655045
0.023944965393441528,0.8953981911301799,0.716318552904144,0.904655045
0.025180466334480164,0.8956180945158361,0.7164944756126689,0.904655045
0.026415967275518815,0.8958155372935447,0.7166524298348358,0.904655045
0.027651468216557465,0.8959905194633059,0.7167924155706448,0.904655045
0.028886969157596115,0.8961430410251195,0.7169144328200957,0.904655045
0.030122470098634765,0.8962731019789858,0.7170184815831887,0.904655045
0.0313579710396734,0.8963807023249044,0.7171045618599236,0.904655045
0.03259347198071205,0.8964658420628757,0.7171726736503006,0.904655045
0.0338289729217507,0.8965285211928994,0.7172228169543196,0.904655045
