log Fraction_Shell_IGE/burned,log Fraction_Shell_Ni56/IGE,log Fraction_Shell_Ni56/IGE_lower_limit,log Fraction_Shell_Ni56/IGE_upper_limit
-0.21712218285862508,-0.18660999957388752,-0.2835200125819439,-0.1074287535262627
-0.2110179019646746,-0.18870917127111297,-0.2856191842791694,-0.10952792522348816
-0.2049982326658466,-0.19075603011661363,-0.28766604312467003,-0.11157478406898881
-0.19906086138712026,-0.19275232176132343,-0.2896623347693798,-0.11357107571369861
-0.19320356816682635,-0.19469971277622983,-0.29160972578428623,-0.11551846672860501
-0.18742422167332787,-0.1965997951970196,-0.293509808205076,-0.11741854914939477
-0.18172077454894645,-0.1984540907528018,-0.2953641037608582,-0.11927284470517698
-0.17609125905568127,-0.20026405480460763,-0.29717406781266403,-0.12108280875698281
-0.17053378299954677,-0.20203108001697712,-0.2989410930250335,-0.1228498339693523
-0.16504652591240562,-0.20375649978380447,-0.30066651279186085,-0.12457525373617966
-0.15962773547201847,-0.20544159142769503,-0.30235160443575143,-0.1262603453800702
-0.15427572414269503,-0.20708757919036205,-0.30399759219841843,-0.12790633314273725
-0.14898886602043243,-0.20869563703004262,-0.30560565003809903,-0.1295143909824178
-0.14376559386778365,-0.21026689124051334,-0.30717690424856975,-0.1310856451928885
-0.13860439632492594,-0.21180242290502913,-0.3087124359130855,-0.13262117685740432
-0.13350381528451274,-0.2133032701973689,-0.3102132832054253,-0.13412202414974406
-0.12846244341890023,-0.21477043054114547,-0.3116804435492019,-0.13558918449352064
-0.1234789218492571,-0.2162048626376045,-0.3131148756456609,-0.1370236165899797
-0.11855193794689932,-0.21760748837129465,-0.314517501379351,-0.13842624232366985
-0.11368022325794944,-0.21897919460222529,-0.31588920761028166,-0.13979794855460048
-0.10886255154311182,-0.22032083485243265,-0.31723084786048905,-0.14113958880480781
-0.10409773692498549,-0.22163323089424317,-0.31854324390229954,-0.14245198484661836
-0.09938463213591182,-0.22291717424694735,-0.31982718725500375,-0.14373592819932252
-0.09472212685988089,-0.22417342758807243,-0.3210834405961288,-0.14499218154044763
-0.09010914616250158,-0.22540272608496426,-0.32231273909302066,-0.14622148003733942
-0.08554464900348177,-0.22660577865195153,-0.32351579166000793,-0.1474245326043267
-0.08102762682646941,-0.22778326913796648,-0.3246932821460229,-0.14860202309034165
-0.07655710222147603,-0.22893585744913036,-0.32584587045718677,-0.14975461140150553
-0.0721321276554454,-0.23006418061047798,-0.32697419361853436,-0.15088293456285318
-0.06775178426684303,-0.23116885377068866,-0.32807886677874504,-0.15198760772306386
-0.06341518072043086,-0.23225047115340977,-0.32916048416146615,-0.15306922510578497
-0.05912145211865665,-0.23330960695850037,-0.33021961996655674,-0.15412836091087556
-0.05486975896633243,-0.23434681621628578,-0.3312568292243422,-0.15516557016866095
-0.05065928618550202,-0.2353626355976947,-0.3322726486057511,-0.15618138955006988
-0.04648924217760609,-0.23635758418295033,-0.33326759719100674,-0.1571763381353255
-0.04235885793024557,-0.23733216419130093,-0.33424217719935734,-0.1581509181436761
-0.038267386166022474,-0.23828686167410545,-0.33519687468216186,-0.15910561562648062
-0.03421410053110166,-0.23922214717343157,-0.33613216018148795,-0.16004090112580677
-0.030198294821289724,-0.24013847634817817,-0.33704848935623455,-0.16095723030055337
-0.02621928224356857,-0.24103629056960013,-0.33794630357765654,-0.1618550445219753
-0.022276394711152253,-0.24191601748798855,-0.3388260304960449,-0.16273477144036375
