log EDefNuc,Rise_Time_(d),Rise_Time_(d)_lower_limit,Rise_Time_(d)_upper_limit
0.2608637590129516,19.728165571319163,17.755349014187246,21.70098212845108
0.2642790783018994,19.78318597039952,17.804867373359567,21.761504567439474
0.26769439759084723,19.837119762602995,17.853407786342697,21.820831738863298
0.271109716879795,19.889966947929587,17.900970253136627,21.878963642722546
0.2745250361687428,19.941727526379296,17.947554773741366,21.935900279017226
0.2779403554576906,19.992401497952123,17.99316134815691,21.991641647747336
0.28135567474663836,20.04198886264807,18.037789976383262,22.046187748912878
0.28477099403558614,20.09048962046713,18.08144065842042,22.099538582513848
0.2881863133245339,20.137903771409313,18.12411339426838,22.151694148550245
0.2916016326134817,20.184231315474612,18.16580818392715,22.202654447022077
0.2950169519024295,20.229472252663033,18.20652502739673,22.252419477929337
0.2984322711913773,20.27362658297457,18.246263924677113,22.300989241272028
0.30184759048032506,20.316694306409218,18.285024875768297,22.348363737050143
0.3052629097692729,20.358675422966996,18.322807880670297,22.3945429652637
0.3086782290582207,20.399569932647886,18.359612939383098,22.439526925912677
0.31209354834716846,20.439377835451893,18.395440051906704,22.483315618997086
0.31550886763611624,20.478099131379018,18.430289218241118,22.525909044516922
0.318924186925064,20.51573382042926,18.464160438386337,22.56730720247219
0.3223395062140118,20.552281902602623,18.49705371234236,22.60751009286289
0.3257548255029596,20.587743377899102,18.528969040109192,22.646517715689015
0.32917014479190737,20.6221182463187,18.55990642168683,22.684330070950573
0.33258546408085515,20.655406507861414,18.589865857075274,22.720947158647558
0.33600078336980294,20.687608162527248,18.618847346274524,22.756368978779975
0.3394161026587508,20.7187232103162,18.64685088928458,22.790595531347822
0.34283142194769856,20.748751651228268,18.673876486105442,22.823626816351098
0.34624674123664634,20.77769348526346,18.699924136737113,22.855462833789808
0.3496620605255941,20.805548712421764,18.72499384117959,22.886103583663942
0.3530773798145419,20.832317332703187,18.74908559943287,22.915549065973508
0.3564926991034897,20.85799934610773,18.772199411496956,22.943799280718505
0.35990801839243747,20.88259475263539,18.794335277371854,22.970854227898933
0.36332333768138525,20.906103552286165,18.81549319705755,22.996713907514785
0.36673865697033303,20.928525745060064,18.83567317055406,23.02137831956607
0.3701539762592808,20.949861330957077,18.85487519786137,23.044847464052786
0.3735692955482286,20.97011030997721,18.87309927897949,23.067121340974932
0.3769846148371764,20.989272682120458,18.890345413908413,23.088199950332505
0.38039993412612416,21.007348447386825,18.906613602648143,23.10808329212551
0.383815253415072,21.02433760577631,18.92190384519868,23.126771366353942
0.3872305727040198,21.040240157288913,18.936216141560024,23.144264173017806
0.39064589199296756,21.055056101924635,18.94955049173217,23.1605617121171
0.39406121128191535,21.068785439683474,18.961906895715128,23.175663983651823
0.39747653057086313,21.08142817056543,18.97328535350889,23.189570987621977
0.4008918498598109,21.092984294570506,18.983685865113458,23.202282724027558
0.4043071691487587,21.1034538116987,18.99310843052883,23.21379919286857
0.4077224884377065,21.11283672195001,19.00155304975501,23.224120394145015
0.41113780772665426,21.12113302532444,19.009019722791997,23.233246327856886
0.41455312701560204,21.128342721821987,19.01550844963979,23.24117699400419
0.4179684463045498,21.134465811442652,19.02101923029839,23.24791239258692
0.42138376559349766,21.139502294186435,19.025552064767794,23.25345252360508
0.42479908488244544,21.14345217005334,19.029106953048007,23.257797387058677
0.4282144041713932,21.146315439043356,19.03168389513902,23.260946982947694
0.431629723460341,21.148092101156497,19.033282891040848,23.26290131127215
