log EDefNuc,Fraction_Shell_burned,Fraction_Shell_burned_lower_limit,Fraction_Shell_burned_upper_limit
0.32917014479190737,0.730580963233892,0.14611619264677836,0.777579837
0.33258546408085515,0.7294312384472345,0.14588624768944686,0.777579837
0.33600078336980294,0.728267093746583,0.1456534187493166,0.777579837
0.3394161026587508,0.7270885291319378,0.14541770582638752,0.777579837
0.34283142194769856,0.7258955446032986,0.1451791089206597,0.777579837
0.34624674123664634,0.7246881401606657,0.14493762803213311,0.777579837
0.3496620605255941,0.723466315804039,0.14469326316080777,0.777579837
0.3530773798145419,0.7222300715334183,0.14444601430668363,0.777579837
0.3564926991034897,0.7209794073488038,0.14419588146976073,0.777579837
0.35990801839243747,0.7197143232501956,0.14394286465003908,0.777579837
0.36332333768138525,0.7184348192375934,0.14368696384751867,0.777579837
0.36673865697033303,0.7171408953109975,0.14342817906219946,0.777579837
0.3701539762592808,0.7158325514704077,0.1431665102940815,0.777579837
0.3735692955482286,0.714509787715824,0.14290195754316476,0.777579837
0.3769846148371764,0.7131726040472465,0.14263452080944927,0.777579837
0.38039993412612416,0.7118210004646752,0.14236420009293502,0.777579837
0.383815253415072,0.71045497696811,0.14209099539362197,0.777579837
0.3872305727040198,0.709074533557551,0.14181490671151017,0.777579837
0.39064589199296756,0.7076796702329982,0.1415359340465996,0.777579837
0.39406121128191535,0.7062703869944514,0.14125407739889026,0.777579837
0.39747653057086313,0.7048466838419108,0.14096933676838214,0.777579837
0.4008918498598109,0.7034085607753765,0.14068171215507527,0.777579837
0.4043071691487587,0.7019560177948483,0.1403912035589696,0.777579837
0.4077224884377065,0.7004890549003263,0.14009781098006524,0.777579837
0.41113780772665426,0.6990076720918104,0.13980153441836204,0.777579837
0.41455312701560204,0.6975118693693007,0.1395023738738601,0.777579837
0.4179684463045498,0.6960016467327971,0.13920032934655938,0.777579837
0.42138376559349766,0.6944770041822996,0.1388954008364599,0.777579837
0.42479908488244544,0.6929379417178084,0.13858758834356166,0.777579837
0.4282144041713932,0.6913844593393234,0.13827689186786463,0.777579837
0.431629723460341,0.6898165570468444,0.13796331140936885,0.777579837
0.4350450427492888,0.6882342348403716,0.13764684696807428,0.777579837
0.4384603620382366,0.686637492719905,0.137327498543981,0.777579837
0.44187568132718436,0.6850263306854446,0.13700526613708888,0.777579837
0.44529100061613214,0.6834007487369903,0.13668014974739803,0.777579837
0.4487063199050799,0.6817607468745422,0.13635214937490842,0.777579837
