log EDefNuc,Fraction_Core_IGE/burned,Fraction_Core_IGE/burned_lower_limit,Fraction_Core_IGE/burned_upper_limit
0.38039993412612416,0.6619765148224892,0.5295812118579913,0.7281741663047382
0.383815253415072,0.6586116404686826,0.5268893123749461,0.724472804515551
0.3872305727040198,0.6552314528913861,0.5241851623131089,0.7207545981805248
0.39064589199296756,0.6518359520905996,0.5214687616724797,0.7170195472996597
0.39406121128191535,0.6484251380663231,0.5187401104530585,0.7132676518729555
0.39747653057086313,0.6449990108185564,0.5159992086548452,0.709498911900412
0.4008918498598109,0.6415575703472999,0.5132460562778399,0.70571332738203
0.4043071691487587,0.6381008166525532,0.5104806533220426,0.7019108983178086
0.4077224884377065,0.6346287497343167,0.5077029997874534,0.6980916247077484
0.41113780772665426,0.63114136959259,0.504913095674072,0.6942555065518491
0.41455312701560204,0.6276386762273736,0.5021109409818989,0.690402543850111
0.4179684463045498,0.6241206696386669,0.4992965357109335,0.6865327366025336
0.42138376559349766,0.6205873498264702,0.4964698798611762,0.6826460848091173
0.42479908488244544,0.6170387167907836,0.4936309734326269,0.678742588469862
0.4282144041713932,0.6134747705316069,0.49077981642528556,0.6748222475847677
0.431629723460341,0.6098955110489404,0.4879164088391523,0.6708850621538345
0.4350450427492888,0.6063009383427835,0.48504075067422686,0.666931032177062
0.4384603620382366,0.6026910524131369,0.48215284193050956,0.6629601576544507
0.44187568132718436,0.5990658532600003,0.47925268260800025,0.6589724385860004
0.44529100061613214,0.5954253408833736,0.47634027270669893,0.654967874971711
0.4487063199050799,0.5917695152832569,0.47341561222660555,0.6509464668115826
