log EDefNuc,Fraction_Core_burned,Fraction_Core_burned_lower_limit,Fraction_Core_burned_upper_limit
0.2437871625682127,0.9629484917825316,0.7703587934260253,0.973777959
0.24720248185716048,0.9627242808207899,0.7701794246566319,0.973777959
0.25061780114610827,0.9624998135196225,0.7699998508156981,0.973777959
0.25403312043505605,0.9622750898790295,0.7698200719032237,0.973777959
0.25744843972400383,0.9620501098990109,0.7696400879192087,0.973777959
0.2608637590129516,0.9618248735795665,0.7694598988636532,0.973777959
0.2642790783018994,0.9615993809206964,0.7692795047365572,0.973777959
0.26769439759084723,0.9613736319224008,0.7690989055379207,0.973777959
0.271109716879795,0.9611476265846793,0.7689181012677435,0.973777959
0.2745250361687428,0.9609213649075323,0.7687370919260259,0.973777959
0.2779403554576906,0.9606948468909596,0.7685558775127678,0.973777959
0.28135567474663836,0.9604680725349614,0.7683744580279691,0.973777959
0.28477099403558614,0.9602410418395373,0.7681928334716299,0.973777959
0.2881863133245339,0.9600137548046876,0.7680110038437502,0.973777959
0.2916016326134817,0.9597862114304123,0.7678289691443299,0.973777959
0.2950169519024295,0.9595584117167113,0.7676467293733691,0.973777959
0.2984322711913773,0.9593303556635846,0.7674642845308677,0.973777959
0.30184759048032506,0.9591020432710322,0.7672816346168259,0.973777959
0.3052629097692729,0.9588734745390542,0.7670987796312434,0.973777959
0.3086782290582207,0.9586446494676506,0.7669157195741205,0.973777959
0.31209354834716846,0.9584155680568213,0.766732454445457,0.973777959
0.31550886763611624,0.9581862303065662,0.7665489842452531,0.973777959
0.318924186925064,0.9579566362168855,0.7663653089735085,0.973777959
0.3223395062140118,0.9577267857877793,0.7661814286302234,0.973777959
0.3257548255029596,0.9574966790192473,0.7659973432153979,0.973777959
0.32917014479190737,0.9572663159112895,0.7658130527290317,0.973777959
0.33258546408085515,0.9570356964639063,0.7656285571711251,0.973777959
0.33600078336980294,0.9568048206770973,0.7654438565416779,0.973777959
0.3394161026587508,0.9565736885508626,0.7652589508406901,0.973777959
0.34283142194769856,0.9563423000852023,0.7650738400681618,0.973777959
0.34624674123664634,0.9561106552801163,0.764888524224093,0.973777959
0.3496620605255941,0.9558787541356046,0.7647030033084837,0.973777959
0.3530773798145419,0.9556465966516673,0.7645172773213339,0.973777959
0.3564926991034897,0.9554141828283044,0.7643313462626435,0.973777959
0.35990801839243747,0.9551815126655158,0.7641452101324127,0.973777959
0.36332333768138525,0.9549485861633014,0.7639588689306411,0.973777959
0.36673865697033303,0.9547154033216614,0.7637723226573292,0.973777959
0.3701539762592808,0.9544819641405958,0.7635855713124767,0.973777959
0.3735692955482286,0.9542482686201045,0.7633986148960836,0.973777959
0.3769846148371764,0.9540143167601876,0.7632114534081501,0.973777959
0.38039993412612416,0.9537801085608449,0.763024086848676,0.973777959
0.383815253415072,0.9535456440220766,0.7628365152176614,0.973777959
0.3872305727040198,0.9533109231438827,0.7626487385151062,0.973777959
0.39064589199296756,0.953075945926263,0.7624607567410104,0.973777959
0.39406121128191535,0.9528407123692177,0.7622725698953743,0.973777959
0.39747653057086313,0.9526052224727467,0.7620841779781974,0.973777959
0.4008918498598109,0.9523694762368501,0.7618955809894801,0.973777959
0.4043071691487587,0.9521334736615279,0.7617067789292223,0.973777959
0.4077224884377065,0.9518972147467799,0.761517771797424,0.973777959
0.41113780772665426,0.9516606994926062,0.7613285595940851,0.973777959
0.41455312701560204,0.951423927899007,0.7611391423192057,0.973777959
0.4179684463045498,0.951186899965982,0.7609495199727857,0.973777959
0.42138376559349766,0.9509496156935314,0.7607596925548252,0.973777959
0.42479908488244544,0.9507120750816551,0.7605696600653241,0.973777959
0.4282144041713932,0.9504742781303532,0.7603794225042826,0.973777959
0.431629723460341,0.9502362248396256,0.7601889798717005,0.973777959
0.4350450427492888,0.9499979152094723,0.7599983321675778,0.973777959
0.4384603620382366,0.9497593492398934,0.7598074793919147,0.973777959
0.44187568132718436,0.9495205269308888,0.7596164215447111,0.973777959
0.44529100061613214,0.9492814482824585,0.7594251586259668,0.973777959
0.4487063199050799,0.9490421132946026,0.7592336906356821,0.973777959
