wavelength,flux,flux_err,weight
1959.6,2.791860207501156e-14,1.5367457979256681e-15,1.0
1961.0,2.6364846679138673e-14,1.5210320239225144e-15,1.0
1962.4,2.878730868333733e-14,1.5362852154882237e-15,1.0
1963.8,2.658963272274307e-14,1.5119729512827488e-15,1.0
1965.2,2.6399008654897782e-14,1.821911687064823e-15,1.0
1966.6,2.5363693149568914e-14,1.5238607499208103e-15,1.0
1968.0,2.9323164861152346e-14,1.6431279793837374e-15,1.0
1969.4,2.520236674851304e-14,1.596171682639845e-15,1.0
1970.8,2.5985105765794814e-14,1.4783044530221738e-15,1.0
1972.2,3.075084339694031e-14,1.5611458462413068e-15,1.0
1973.6,2.932237709478235e-14,1.575021958235733e-15,1.0
1975.0,2.999931436001724e-14,1.8010057879133864e-15,1.0
1976.4,3.1021601822477057e-14,1.5291535877467653e-15,1.0
1977.8,3.171850677663787e-14,1.5642629038388241e-15,1.0
1979.2,3.1768612130044267e-14,1.5485109355287658e-15,1.0
1980.6,3.047964225574187e-14,1.5739901011893046e-15,1.0
1982.0,3.104873176605675e-14,1.5074238157552283e-15,1.0
1983.4,3.0049064797842276e-14,1.4936122264382903e-15,1.0
1984.8,3.098371054279206e-14,1.5014485437882239e-15,1.0
1986.2,3.3479072691417426e-14,1.5993405748888564e-15,1.0
1987.6,3.3535002988635334e-14,1.6149643291457584e-15,1.0
1989.0,3.046501444009303e-14,1.4529460853167302e-15,1.0
1990.4,3.168014905783919e-14,1.4698082136550234e-15,1.0
1991.8,3.3994285803478606e-14,1.5038934082156911e-15,1.0
1993.2,3.533436509057306e-14,1.5225300495323375e-15,1.0
1994.6,3.224093614018777e-14,1.5281462804675278e-15,1.0
1996.0,3.394032201123832e-14,1.6195879695151946e-15,1.0
1997.4,3.515170692959396e-14,1.5551218254527178e-15,1.0
1998.8,3.4029456412868124e-14,1.4513726460888378e-15,1.0
2000.2,3.435583026760012e-14,1.4556207789404666e-15,1.0
2001.6,3.5909210654812686e-14,1.4825409561847528e-15,1.0
